phase,mag_G,mag_BP,mag_RP
1.6500,13.7657,14.2914,13.0850
1.6600,13.7785,14.3072,13.0961
1.6700,13.7914,14.3229,13.1073
1.6800,13.8043,14.3385,13.1187
1.6900,13.8173,14.3541,13.1303
1.7000,13.8304,14.3696,13.1421
1.7100,13.8436,14.3851,13.1541
1.7200,13.8568,14.4005,13.1663
1.7300,13.8702,14.4159,13.1787
1.7400,13.8837,14.4312,13.1913
1.7500,13.8973,14.4465,13.2041
1.7600,13.9110,14.4617,13.2170
1.7700,13.9248,14.4767,13.2301
1.7800,13.9385,14.4914,13.2433
1.7900,13.9522,14.5057,13.2565
1.8000,13.9656,14.5196,13.2696
1.8100,13.9787,14.5328,13.2824
1.8200,13.9914,14.5452,13.2949
1.8300,14.0034,14.5567,13.3070
1.8400,14.0148,14.5671,13.3185
1.8500,14.0254,14.5764,13.3293
1.8600,14.0351,14.5845,13.3395
1.8700,14.0438,14.5914,13.3490
1.8800,14.0517,14.5970,13.3577
1.8900,14.0586,14.6014,13.3657
1.9000,14.0645,14.6045,13.3729
1.9100,14.0694,14.6064,13.3794
1.9200,14.0734,14.6070,13.3852
1.9300,14.0763,14.6064,13.3901
1.9400,14.0783,14.6044,13.3944
1.9500,14.0791,14.6009,13.3977
1.9600,14.0788,14.5957,13.4001
1.9700,14.0771,14.5887,13.4015
1.9800,14.0737,14.5793,13.4015
1.9900,14.0685,14.5672,13.4001
2.0000,14.0610,14.5518,13.3967
