phase,mag_G,mag_BP,mag_RP
0.0100,5.2006,5.5869,4.6239
0.0200,5.2063,5.5955,4.6276
0.0300,5.2137,5.6063,4.6324
0.0400,5.2230,5.6192,4.6381
0.0500,5.2339,5.6342,4.6445
0.0600,5.2463,5.6510,4.6517
0.0700,5.2597,5.6691,4.6593
0.0800,5.2739,5.6881,4.6673
0.0900,5.2887,5.7075,4.6756
0.1000,5.3038,5.7271,4.6841
0.1100,5.3190,5.7467,4.6928
0.1200,5.3343,5.7661,4.7018
0.1300,5.3496,5.7854,4.7110
0.1400,5.3647,5.8043,4.7204
0.1500,5.3796,5.8227,4.7301
0.1600,5.3940,5.8407,4.7401
0.1700,5.4080,5.8580,4.7503
0.1800,5.4214,5.8746,4.7607
0.1900,5.4342,5.8903,4.7713
0.2000,5.4464,5.9051,4.7821
0.2100,5.4580,5.9192,4.7929
0.2200,5.4690,5.9325,4.8037
0.2300,5.4797,5.9452,4.8144
0.2400,5.4901,5.9576,4.8249
0.2500,5.5004,5.9699,4.8352
0.2600,5.5107,5.9823,4.8453
0.2700,5.5213,5.9949,4.8553
0.2800,5.5321,6.0077,4.8653
0.2900,5.5431,6.0207,4.8754
0.3000,5.5542,6.0339,4.8855
0.3100,5.5654,6.0470,4.8957
0.3200,5.5763,6.0600,4.9061
0.3300,5.5869,6.0728,4.9164
0.3400,5.5971,6.0854,4.9268
0.3500,5.6069,6.0977,4.9372
0.3600,5.6165,6.1099,4.9477
0.3700,5.6258,6.1220,4.9583
0.3800,5.6350,6.1340,4.9691
0.3900,5.6442,6.1463,4.9802
0.4000,5.6538,6.1589,4.9919
0.4100,5.6640,6.1721,5.0042
0.4200,5.6753,6.1859,5.0171
0.4300,5.6879,6.2000,5.0302
0.4400,5.7016,6.2137,5.0429
0.4500,5.7157,6.2260,5.0543
0.4600,5.7287,6.2359,5.0638
0.4700,5.7392,6.2424,5.0707
0.4800,5.7461,6.2454,5.0751
0.4900,5.7491,6.2449,5.0769
0.5000,5.7483,6.2410,5.0765
0.5100,5.7442,6.2341,5.0740
0.5200,5.7372,6.2242,5.0697
0.5300,5.7276,6.2116,5.0637
0.5400,5.7158,6.1963,5.0559
0.5500,5.7020,6.1783,5.0465
0.5600,5.6861,6.1576,5.0355
0.5700,5.6684,6.1342,5.0228
0.5800,5.6488,6.1082,5.0085
0.5900,5.6275,6.0799,4.9927
0.6000,5.6044,6.0498,4.9757
0.6100,5.5798,6.0182,4.9576
0.6200,5.5539,5.9854,4.9385
0.6300,5.5267,5.9517,4.9185
0.6400,5.4984,5.9171,4.8975
0.6500,5.4690,5.8815,4.8755
0.6600,5.4386,5.8449,4.8523
0.6700,5.4072,5.8073,4.8279
0.6800,5.3750,5.7687,4.8024
0.6900,5.3424,5.7295,4.7758
0.7000,5.3103,5.6904,4.7485
0.7100,5.2794,5.6524,4.7214
0.7200,5.2506,5.6167,4.6952
0.7300,5.2247,5.5845,4.6710
0.7400,5.2021,5.5563,4.6493
0.7500,5.1826,5.5325,4.6305
0.7600,5.1663,5.5129,4.6146
0.7700,5.1530,5.4970,4.6014
0.7800,5.1424,5.4846,4.5907
0.7900,5.1345,5.4754,4.5823
0.8000,5.1295,5.4694,4.5763
0.8100,5.1272,5.4665,4.5726
0.8200,5.1279,5.4669,4.5713
0.8300,5.1314,5.4706,4.5725
0.8400,5.1373,5.4774,4.5761
0.8500,5.1451,5.4868,4.5818
0.8600,5.1539,5.4981,4.5888
0.8700,5.1627,5.5101,4.5963
0.8800,5.1706,5.5217,4.6033
0.8900,5.1771,5.5319,4.6090
0.9000,5.1821,5.5403,4.6131
0.9100,5.1856,5.5468,4.6156
